Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Calisthenics duration (ms),Hiking duration (ms),Sleep duration (ms)
2018-07-13,1245.6584873751635,2136.52385019511,12.934122085571289,77.61514282226562,12.935223579406738,77.61638641357422,0.5259451456430421,3.6600000858306885,0.009631660766899586,4507,,,,,82151983,3714303,,,
2018-07-14,1436.2232229277965,7588.465384382755,12.9331987,77.6135638,12.9367668,77.6244058,0.5140811751489913,3.0299999713897705,0.0,11285,,,,,75402211,10550678,,,
2018-07-15,1444.0700841183786,5794.916923262179,12.8049389,77.6079912,12.9362796,77.7000381,0.9524773617606664,19.959999084472656,0.021542105823755264,8068,,,,,67813826,10840997,,,
2018-07-16,1266.7088714158185,1988.0733534693718,12.9337894,77.6151456,12.9353422,77.6165278,0.5528905955768441,1.5,0.24338257312774658,4480,,,,,81547542,4470407,,,
2018-07-17,1318.7516797382698,2253.9647804079796,12.9340762,77.6142586,12.9353201,77.6166483,0.7961083027497498,1.5297430753707886,0.12539790570735931,5242,,,,,78949927,6339717,,,
2018-07-18,1369.9966315669678,5772.889853638575,12.9283602,77.5996876,12.9434471,77.6260869,0.6108971041292699,6.78000020980835,0.02081647515296936,8880,,,,,74131946,8180373,,,
2018-07-19,1289.4808350247272,2869.4434889554977,12.9319007,77.6086092,12.9361161,77.616254,0.8223616945933421,7.309999942779541,0.008588140830397606,4519,,,,,79310822,5288347,,,
2018-07-20,1259.988108521339,2441.65447473526,12.9332541,77.6083173,12.9400061,77.6166438,0.7868392198355768,9.75,0.00564695755019784,3311,,,,1410660,80174932,2708843,,,
2018-07-21,1319.6021640336262,4966.4124056417495,12.9242633,77.6086092,12.9364877,77.6130491,0.7289531326377577,4.575206279754639,0.0,5929,,,,,78678948,6367117,,,
2018-07-22,1405.7303575941032,7289.419488072395,12.9317452,77.608561,12.9363689,77.6172193,0.9713997336729457,10.609999656677246,0.018263397738337517,8684,,,,,73892727,9433332,,,
2018-07-23,1261.0863014493202,2106.906677177176,12.9328433,77.6085937,12.9366372,77.6193468,0.5683669448000218,8.649999618530273,0.0,4055,,,,,78374704,4267819,,,
2018-07-24,1295.7432257000498,3592.483678340912,12.93292101,77.608511,12.9360682,77.6162326,0.9691053458159078,5.309999942779541,0.0,5514,,,,,79400942,5513286,,,
2018-07-25,115.98161951322669,3225.966442257166,12.9328928,77.6085647,12.9361809,77.6162326,0.7180166554878935,7.429999828338623,0.13745242357254028,4836,,,,,71266677,3499178,,,
2018-07-26,,2971.062825202942,12.9275752,77.6085647,12.936219449969922,77.6361177,1.2098887708451547,11.029999732971191,0.5,3932,,,,,78611840,4811818,,,
2018-07-27,,2341.3362498879433,12.9329836,77.6085647,12.9363777,77.6229184,1.0330267486640925,7.610000133514404,0.5,5466,,,,,63291166,6913328,,,
2018-07-28,1380.5171147623594,6985.703616060317,12.9349315,77.5917278,13.0265098,77.6137907,1.6718799016164718,12.789999961853027,0.16990871727466583,9627,,,,548295,71122342,9614405,,,
